date,cases,deaths
2020-08-20,1620,7
2020-08-21,1657,3
2020-08-22,919,2
2020-08-23,564,0
2020-08-24,1427,5
2020-08-25,1487,2
2020-08-26,1619,2
2020-08-27,1543,1
2020-08-28,1391,3
2020-08-29,833,2
2020-08-30,535,3
2020-08-31,1187,4
2020-09-01,1322,3
2020-09-02,1412,3
2020-09-03,1516,7
2020-09-04,1496,7
2020-09-05,1106,7
2020-09-06,579,4
2020-09-07,1413,6
2020-09-08,1381,19
2020-09-09,1746,9
2020-09-10,1587,6
2020-09-11,1653,12
2020-09-12,1224,8
2020-09-13,762,8
2020-09-14,1492,5
2020-09-15,2002,16
2020-09-16,2192,15
2020-09-17,2359,9
2020-09-18,2172,14
2020-09-19,1392,12
2020-09-20,691,10
2020-09-21,1657,18
2020-09-22,1816,15
2020-09-23,2212,11
2020-09-24,2393,18
2020-09-25,2333,15
2020-09-26,1784,26
2020-09-27,874,7
2020-09-28,1835,19
2020-09-29,2162,14
2020-09-30,2738,16
2020-10-01,2928,26
2020-10-02,2930,25
2020-10-03,2196,12
2020-10-04,1157,9
2020-10-05,2414,34
2020-10-06,3589,27
2020-10-07,4499,34
2020-10-08,4669,43
2020-10-09,5062,44
2020-10-10,3626,39
2020-10-11,2275,25
2020-10-12,4191,59
2020-10-13,5366,57
2020-10-14,7250,63
2020-10-15,7904,82
2020-10-16,7969,90
2020-10-17,5670,60
2020-10-18,3675,54
2020-10-19,6458,87
2020-10-20,9439,129
2020-10-21,12391,143
2020-10-22,13905,205
2020-10-23,14054,199
2020-10-24,11086,123
2020-10-25,7449,125
2020-10-26,12028,242
2020-10-27,15947,237
2020-10-28,19248,247
2020-10-29,19841,269
2020-10-30,19407,261
2020-10-31,13990,194
2020-11-01,10528,169
2020-11-02,15250,279
2020-11-03,19342,331
2020-11-04,21209,318
2020-11-05,22284,340
2020-11-06,21571,253
2020-11-07,15930,218
2020-11-08,10124,167
2020-11-09,15994,324
2020-11-10,19614,348
2020-11-11,22705,418
2020-11-12,23527,434
2020-11-13,21373,416
2020-11-14,15797,371
2020-11-15,8846,224
2020-11-16,14701,450
2020-11-17,20373,513
2020-11-18,23695,533
2020-11-19,23748,568
2020-11-20,22312,534
2020-11-21,14765,344
2020-11-22,8813,285
2020-11-23,15074,474
2020-11-24,19402,515
2020-11-25,22035,591
2020-11-26,22755,658
2020-11-27,20152,626
2020-11-28,14940,406
2020-11-29,8783,328
2020-11-30,13294,539
2020-12-01,19218,656
2020-12-02,23191,739
2020-12-03,24424,852
2020-12-04,22221,813
2020-12-05,15702,515
2020-12-06,10222,364
2020-12-07,16452,701
2020-12-08,22792,862
2020-12-09,27621,849
2020-12-10,29035,1081
2020-12-11,27231,980
2020-12-12,20596,770
2020-12-13,12492,520
2020-12-14,19072,830
2020-12-15,26899,1016
2020-12-16,31353,1071
2020-12-17,31952,1167
2020-12-18,29715,1053
2020-12-19,21694,776
2020-12-20,13898,547
2020-12-21,20281,927
2020-12-22,28957,1199
2020-12-23,33954,1256
2020-12-24,21116,713
2020-12-25,13146,512
2020-12-26,11553,586
2020-12-27,9808,530
2020-12-28,15718,895
2020-12-29,27548,1252
2020-12-30,31047,1298
2020-12-31,19544,778
2021-01-01,10244,418
2021-01-02,10032,601
2021-01-03,8822,500
2021-01-04,14317,778
2021-01-05,27456,1044
2021-01-06,27947,926
2021-01-07,26105,1033
2021-01-08,24546,931
2021-01-09,16665,604
2021-01-10,8471,429
2021-01-11,13494,589
2021-01-12,22590,902
2021-01-13,24112,973
2021-01-14,20407,951
2021-01-15,18311,822
2021-01-16,13433,540
2021-01-17,6594,326
2021-01-18,9169,543
2021-01-19,18463,766
2021-01-20,19474,778
2021-01-21,16824,722
2021-01-22,15034,631
2021-01-23,11574,445
2021-01-24,5012,214
2021-01-25,6750,429
2021-01-26,15517,584
2021-01-27,15814,622
2021-01-28,13364,487
2021-01-29,12569,479
2021-01-30,9951,309
2021-01-31,4210,189
2021-02-01,5862,314
2021-02-02,12303,396
2021-02-03,13423,451
2021-02-04,11511,442
2021-02-05,10022,318
2021-02-06,8380,245
2021-02-07,3094,101
2021-02-08,4197,241
2021-02-09,9093,306
2021-02-10,10279,306
2021-02-11,9372,310
2021-02-12,8539,253
2021-02-13,5585,162
2021-02-14,3762,106
2021-02-15,4386,193
2021-02-16,9234,292
2021-02-17,9993,276
2021-02-18,9209,242
2021-02-19,8716,222
2021-02-20,7770,158
2021-02-21,3023,95
2021-02-22,4404,183
2021-02-23,10168,219
2021-02-24,11307,232
2021-02-25,9896,201
2021-02-26,9467,184
2021-02-27,7660,135
2021-02-28,3449,73
2021-03-01,4688,162
2021-03-02,10964,196
2021-03-03,11314,169
2021-03-04,10136,166
2021-03-05,9654,142
2021-03-06,8295,133
2021-03-07,3362,81
2021-03-08,4848,136
2021-03-09,11518,181
2021-03-10,13996,210
2021-03-11,13160,200
2021-03-12,12557,173
2021-03-13,10470,126
2021-03-14,4834,76
2021-03-15,6847,145
2021-03-16,15788,230
2021-03-17,18358,216
2021-03-18,16736,236
2021-03-19,15700,198
2021-03-20,13219,144
2021-03-21,5955,108
2021-03-22,8905,164
2021-03-23,19447,274
2021-03-24,22641,267
2021-03-25,21911,256
2021-03-26,20036,258
2021-03-27,15776,194
2021-03-28,7591,110
2021-03-29,11000,237
2021-03-30,20389,289
2021-03-31,23986,302
2021-04-01,21417,255
2021-04-02,15481,201
2021-04-03,10599,176
2021-04-04,7146,128
2021-04-05,7022,164
2021-04-06,11500,267
2021-04-07,23723,292
2021-04-08,25750,281
2021-04-09,23288,248
2021-04-10,18052,213
2021-04-11,8852,114
2021-04-12,12118,200
2021-04-13,26718,290
2021-04-14,28550,313
2021-04-15,25060,260
2021-04-16,23079,237
2021-04-17,17684,195
2021-04-18,8804,129
2021-04-19,12298,218
2021-04-20,27961,301
2021-04-21,29368,291
2021-04-22,25432,277
2021-04-23,22963,248
2021-04-24,17997,186
2021-04-25,8663,99
2021-04-26,12188,210
2021-04-27,25250,242
2021-04-28,24998,231
2021-04-29,21402,206
2021-04-30,19153,184
2021-05-01,15047,135
2021-05-02,6650,96
2021-05-03,9115,140
2021-05-04,20967,209
2021-05-05,20842,190
2021-05-06,17147,150
2021-05-07,15457,156
2021-05-08,12008,95
2021-05-09,5317,70
2021-05-10,7389,105
2021-05-11,16745,142
2021-05-12,16464,139
2021-05-13,9661,73
2021-05-14,7631,85
2021-05-15,8592,83
2021-05-16,4274,48
2021-05-17,5241,82
2021-05-18,12309,91
2021-05-19,11300,75
2021-05-20,8425,63
2021-05-21,7578,68
2021-05-22,5820,45
2021-05-23,2002,23
2021-05-24,1798,23
2021-05-25,3668,51
2021-05-26,7143,62
2021-05-27,6791,44
2021-05-28,5172,36
2021-05-29,3689,27
2021-05-30,1606,17
2021-05-31,2439,25
2021-06-01,5104,25
2021-06-02,4487,32
2021-06-03,2937,18
2021-06-04,2273,14
2021-06-05,2309,17
2021-06-06,1136,10
2021-06-07,1714,12
2021-06-08,3535,12
2021-06-09,2863,11
2021-06-10,2280,10
2021-06-11,1843,11
2021-06-12,1311,4
2021-06-13,516,7
2021-06-14,933,14
2021-06-15,1703,10
2021-06-16,1443,9
2021-06-17,1161,7
2021-06-18,1032,4
2021-06-19,737,0
2021-06-20,276,2
2021-06-21,609,5
2021-06-22,1069,9
2021-06-23,904,3
2021-06-24,829,5
2021-06-25,741,6
2021-06-26,483,0
2021-06-27,223,2
2021-06-28,524,4
2021-06-29,899,7
2021-06-30,867,1
2021-07-01,710,5
2021-07-02,670,4
2021-07-03,509,2
2021-07-04,208,2
2021-07-05,556,2
2021-07-06,1064,5
2021-07-07,963,3
2021-07-08,959,2
2021-07-09,949,7
2021-07-10,793,6
2021-07-11,311,0
2021-07-12,803,4
2021-07-13,1764,6
2021-07-14,1627,6
2021-07-15,1521,2
2021-07-16,1620,4
2021-07-17,1281,5
2021-07-18,499,3
2021-07-19,1432,4
2021-07-20,2341,9
2021-07-21,2296,7
2021-07-22,2226,5
2021-07-23,2120,4
2021-07-24,1593,10
2021-07-25,637,1
2021-07-26,1665,5
2021-07-27,3098,7
2021-07-28,2846,20
2021-07-29,2637,10
2021-07-30,2531,15
2021-07-31,1964,9
2021-08-01,783,6
2021-08-02,2119,12
2021-08-03,3756,12
2021-08-04,3543,11
2021-08-05,3531,16
2021-08-06,3540,18
2021-08-07,2791,14
2021-08-08,1141,6
2021-08-09,2927,18
2021-08-10,5562,24
2021-08-11,5646,23
2021-08-12,5445,28
2021-08-13,5788,18
2021-08-14,4637,20
2021-08-15,2072,13
2021-08-16,4527,23
2021-08-17,8923,37
2021-08-18,8758,45
2021-08-19,8688,36
2021-08-20,8836,35
2021-08-21,6821,27
2021-08-22,3098,21
2021-08-23,6574,48
2021-08-24,12899,57
2021-08-25,12718,59
2021-08-26,11629,51
2021-08-27,10399,53
2021-08-28,8406,54
2021-08-29,3739,29
2021-08-30,7089,54
2021-08-31,14580,77
2021-09-01,14741,71
2021-09-02,12722,81
2021-09-03,12072,65
2021-09-04,9480,60
2021-09-05,4046,24
2021-09-06,7016,70
2021-09-07,15121,89
2021-09-08,14156,62
2021-09-09,12392,74
2021-09-10,11141,71
2021-09-11,8549,58
2021-09-12,3280,25
2021-09-13,6881,58
2021-09-14,13394,76
2021-09-15,12225,82
2021-09-16,10275,53
2021-09-17,8883,56
2021-09-18,7038,37
2021-09-19,2779,23
2021-09-20,5408,56
2021-09-21,11261,58
2021-09-22,10457,60
2021-09-23,9087,53
2021-09-24,8411,58
2021-09-25,6350,43
2021-09-26,2649,25
2021-09-27,5768,62
2021-09-28,12649,67
2021-09-29,11378,83
2021-09-30,9499,67
2021-10-01,8388,65
2021-10-02,6150,52
2021-10-03,2649,26
2021-10-04,5672,61
2021-10-05,12219,94
2021-10-06,11114,96
2021-10-07,10143,81
2021-10-08,9220,71
2021-10-09,7021,49
2021-10-10,2639,37
2021-10-11,6261,81
2021-10-12,12645,104
2021-10-13,12061,96
2021-10-14,11340,91
2021-10-15,11151,106
2021-10-16,8487,59
2021-10-17,3411,44
2021-10-18,8140,137
2021-10-19,19160,187
2021-10-20,17977,154
2021-10-21,17299,191
2021-10-22,16674,177
2021-10-23,13286,145
2021-10-24,5180,58
2021-10-25,11873,162
2021-10-26,26375,204
2021-10-27,27306,219
2021-10-28,24357,230
2021-10-29,22571,202
2021-10-30,17079,148
2021-10-31,7453,108
2021-11-01,11483,157
2021-11-02,24404,299
2021-11-03,36145,322
2021-11-04,36466,311
2021-11-05,33745,281
2021-11-06,23771,171
2021-11-07,11864,128
2021-11-08,24288,297
2021-11-09,47200,404
2021-11-10,50847,366
2021-11-11,49744,417
2021-11-12,46083,348
2021-11-13,33972,274
2021-11-14,19034,177
2021-11-15,34591,344
2021-11-16,63011,480
2021-11-17,63187,458
2021-11-18,61230,495
2021-11-19,62542,459
2021-11-20,42327,252
2021-11-21,24778,213
2021-11-22,46663,474
2021-11-23,74550,565
2021-11-24,75727,521
2021-11-25,71863,488
2021-11-26,64086,485
2021-11-27,44934,363
2021-11-28,25541,193
2021-11-29,44352,424
2021-11-30,73615,507
2021-12-01,74016,501
2021-12-02,68015,478
2021-12-03,62520,423
2021-12-04,42488,318
2021-12-05,23070,209
2021-12-06,42509,404
2021-12-07,69331,452
2021-12-08,67190,443
2021-12-09,57704,399
2021-12-10,51134,386
2021-12-11,34638,288
2021-12-12,15535,140
2021-12-13,31591,300
2021-12-14,60220,398
2021-12-15,52433,376
2021-12-16,47266,318
2021-12-17,41272,305
2021-12-18,28518,181
2021-12-19,12232,111
2021-12-20,26961,230
2021-12-21,48256,295
2021-12-22,40921,249
2021-12-23,34989,220
2021-12-24,21898,130
2021-12-25,10423,80
2021-12-26,10407,82
2021-12-27,24476,174
2021-12-28,43339,229
2021-12-29,41658,197
2021-12-30,41462,196
2021-12-31,28966,112
2022-01-01,14223,57
2022-01-02,14576,64
2022-01-03,35951,155
2022-01-04,64496,194
2022-01-05,64489,155
2022-01-06,56300,122
2022-01-07,55904,121
2022-01-08,37050,71
2022-01-09,23742,46
2022-01-10,53735,98
2022-01-11,86111,123
2022-01-12,88413,116
2022-01-13,84079,110
2022-01-14,80789,108
2022-01-15,57344,83
2022-01-16,35586,52
2022-01-17,82741,147
2022-01-18,126743,132
2022-01-19,140110,128
2022-01-20,144569,143
2022-01-21,144087,138
2022-01-22,96240,100
2022-01-23,61877,78
2022-01-24,139290,165
2022-01-25,193492,187
2022-01-26,194824,179
2022-01-27,199127,174
2022-01-28,187917,180
2022-01-29,124828,138
2022-01-30,74794,83
2022-01-31,159036,217
2022-02-01,230813,254
2022-02-02,239472,271
2022-02-03,237243,242
2022-02-04,209817,232
2022-02-05,133337,165
2022-02-06,82826,107
2022-02-07,178157,250
2022-02-08,251043,303
2022-02-09,247506,291
2022-02-10,230167,306
2022-02-11,206706,249
2022-02-12,122341,169
2022-02-13,74094,115
2022-02-14,158481,249
2022-02-15,228782,297
2022-02-16,230162,317
2022-02-17,213267,339
2022-02-18,178730,258
2022-02-19,119595,186
2022-02-20,64224,109
2022-02-21,139675,251
2022-02-22,218698,293
2022-02-23,208435,299
2022-02-24,190132,262
2022-02-25,171814,255
2022-02-26,108561,153
2022-02-27,55464,89
2022-02-28,128743,218
2022-03-01,194013,287
2022-03-02,205588,288
2022-03-03,212858,277
2022-03-04,190343,242
2022-03-05,122289,137
2022-03-06,79875,120
2022-03-07,166163,278
2022-03-08,248065,283
2022-03-09,261631,309
2022-03-10,254320,289
2022-03-11,238709,325
2022-03-12,155733,171
2022-03-13,88876,98
2022-03-14,207907,274
2022-03-15,285141,341
2022-03-16,307449,360
2022-03-17,294942,363
2022-03-18,254760,298
2022-03-19,143105,159
2022-03-20,89137,95
2022-03-21,237829,325
2022-03-22,304859,344
2022-03-23,307892,309
2022-03-24,286294,294
2022-03-25,244223,288
2022-03-26,138137,162
2022-03-27,69603,114
2022-03-28,206879,259
2022-03-29,274414,275
2022-03-30,260023,279
2022-03-31,232086,264
2022-04-01,182106,245
2022-04-02,93085,107
2022-04-03,46502,59
2022-04-04,155366,243
2022-04-05,211038,257
2022-04-06,188990,237
2022-04-07,167877,218
2022-04-08,142905,175
2022-04-09,76050,84
2022-04-10,42688,56
2022-04-11,140529,211
2022-04-12,182498,201
2022-04-13,158876,176
2022-04-14,150814,192
2022-04-15,60940,73
2022-04-16,51784,61
2022-04-17,34161,52
2022-04-18,36794,61
2022-04-19,158723,217
2022-04-20,179757,181
2022-04-21,155979,146
2022-04-22,119673,113
2022-04-23,54462,50
2022-04-24,27041,24
2022-04-25,118997,173
2022-04-26,139507,129
2022-04-27,115758,126
2022-04-28,94773,107
2022-04-29,78394,80
2022-04-30,34019,34
2022-05-01,15851,18
2022-05-02,86966,136
2022-05-03,106691,108
2022-05-04,89913,95
2022-05-05,80465,81
2022-05-06,67245,67
2022-05-07,26992,24
2022-05-08,13328,23
2022-05-09,84900,90
2022-05-10,94938,94
2022-05-11,77247,67
2022-05-12,65070,72
2022-05-13,56989,61
2022-05-14,20107,20
2022-05-15,9621,9
2022-05-16,65681,82
2022-05-17,68166,67
2022-05-18,53859,64
2022-05-19,44274,48
2022-05-20,39984,34
2022-05-21,13796,20
2022-05-22,6940,12
2022-05-23,47075,78
2022-05-24,46669,52
2022-05-25,35406,38
2022-05-26,8340,6
2022-05-27,32612,25
2022-05-28,10621,7
2022-05-29,6449,7
2022-05-30,46922,49
2022-05-31,51537,47
2022-06-01,44900,41
2022-06-02,42398,33
2022-06-03,39436,29
2022-06-04,12777,6
2022-06-05,7110,13
2022-06-06,9355,9
2022-06-07,71223,79
2022-06-08,82051,61
2022-06-09,71295,44
2022-06-10,65328,58
2022-06-11,19696,14
2022-06-12,12219,13
2022-06-13,87048,90
2022-06-14,93678,80
2022-06-15,81870,77
2022-06-16,37182,32
2022-06-17,77478,81
2022-06-18,23171,18
2022-06-19,13187,19
2022-06-20,105483,132
2022-06-21,124728,97
2022-06-22,113598,78
2022-06-23,101436,93
2022-06-24,87184,97
2022-06-25,27115,38
2022-06-26,14715,24
2022-06-27,116859,138
2022-06-28,138081,137
2022-06-29,125165,105
2022-06-30,110233,97
2022-07-01,94927,90
2022-07-02,23877,20
2022-07-03,13539,19
2022-07-04,120771,145
2022-07-05,136677,130
2022-07-06,127492,139
2022-07-07,110887,106
2022-07-08,95550,99
2022-07-09,23515,51
2022-07-10,14260,28
2022-07-11,131144,193
2022-07-12,144752,205
2022-07-13,135596,163
2022-07-14,116944,164
2022-07-15,108502,159
2022-07-16,25235,40
2022-07-17,13108,31
2022-07-18,134452,238
2022-07-19,143420,206
2022-07-20,122152,212
2022-07-21,103659,213
2022-07-22,89479,173
2022-07-23,22212,29
2022-07-24,11903,43
2022-07-25,120288,301
2022-07-26,118105,189
2022-07-27,96173,185
2022-07-28,75443,157
2022-07-29,62138,131
2022-07-30,15674,28
2022-07-31,8000,28
2022-08-01,84123,212
2022-08-02,84407,133
2022-08-03,68887,139
2022-08-04,56246,132
2022-08-05,48692,109
2022-08-06,13450,27
2022-08-07,7193,20
2022-08-08,66193,158
2022-08-09,67495,108
2022-08-10,55941,113
2022-08-11,47401,90
2022-08-12,43553,97
2022-08-13,11163,19
2022-08-14,6531,23
2022-08-15,54468,132
2022-08-16,63124,136
2022-08-17,52419,121
2022-08-18,42897,90
2022-08-19,35663,67
2022-08-20,9718,19
2022-08-21,5091,17
2022-08-22,50464,113
2022-08-23,52057,71
2022-08-24,44148,69
2022-08-25,35863,51
2022-08-26,32381,55
2022-08-27,8125,16
2022-08-28,4888,17
2022-08-29,46168,92
2022-08-30,47517,64
2022-08-31,36876,64
2022-09-01,30422,47
2022-09-02,28705,43
2022-09-03,7908,23
2022-09-04,4150,12
2022-09-05,42892,86
2022-09-06,45906,59
2022-09-07,39441,44
2022-09-08,33672,45
2022-09-09,30292,52
2022-09-10,7544,10
2022-09-11,4339,14
2022-09-12,47145,91
2022-09-13,51618,66
2022-09-14,42847,61
2022-09-15,39321,49
2022-09-16,34964,53
2022-09-17,8104,11
2022-09-18,4905,14
2022-09-19,54902,119
2022-09-20,58340,92
2022-09-21,53817,88
2022-09-22,49439,68
2022-09-23,48113,83
2022-09-24,13604,33
2022-09-25,8250,24
2022-09-26,81249,186
2022-09-27,100180,163
2022-09-28,92426,155
2022-09-29,78475,146
2022-09-30,74172,128
2022-10-01,20891,40
2022-10-02,11464,30
2022-10-03,14542,58
2022-10-04,127191,352
2022-10-05,150369,281
2022-10-06,142807,254
2022-10-07,115518,192
2022-10-08,26594,48
2022-10-09,16954,52
2022-10-10,144721,365
2022-10-11,143568,279
2022-10-12,124390,271
2022-10-13,106255,267
2022-10-14,91007,207
2022-10-15,22024,52
2022-10-16,13143,49
2022-10-17,126796,361
2022-10-18,128338,292
2022-10-19,106346,238
2022-10-20,84586,215
2022-10-21,70271,191
2022-10-22,16970,38
2022-10-23,10551,61
2022-10-24,92497,314
2022-10-25,91315,178
2022-10-26,69870,169
2022-10-27,56191,147
2022-10-28,45822,129
2022-10-29,10590,31
2022-10-30,7706,40
2022-10-31,41723,121
2022-11-01,37995,138
2022-11-02,64296,146
2022-11-03,48829,110
2022-11-04,37629,106
2022-11-05,8383,23
2022-11-06,4734,25
2022-11-07,50499,177
2022-11-08,45691,98
2022-11-09,36919,105
2022-11-10,31042,84
2022-11-11,27286,83
2022-11-12,6135,24
2022-11-13,4410,24
2022-11-14,38962,131
2022-11-15,37964,102
2022-11-16,30402,79
2022-11-17,26954,81
2022-11-18,25774,79
2022-11-19,6056,22
2022-11-20,3537,20
2022-11-21,36513,146
2022-11-22,37946,110
2022-11-23,31812,94
2022-11-24,27964,84
2022-11-25,26175,101
2022-11-26,6437,28
2022-11-27,3682,21
2022-11-28,39427,193
2022-11-29,42521,111
2022-11-30,34815,112
2022-12-01,29720,102
2022-12-02,27653,127
2022-12-03,6596,30
2022-12-04,3961,29
2022-12-05,39587,195
2022-12-06,45771,128
2022-12-07,37798,149
2022-12-08,33267,142
2022-12-09,30263,155
2022-12-10,8423,43
2022-12-11,4255,25
2022-12-12,46039,256
2022-12-13,48762,159
2022-12-14,44948,150
2022-12-15,37864,164
2022-12-16,32264,160
2022-12-17,8203,44
2022-12-18,4747,40
2022-12-19,48262,310
2022-12-20,50436,210
2022-12-21,45045,187
2022-12-22,40105,165
2022-12-23,34637,144
2022-12-24,7866,28
2022-12-25,4338,34
2022-12-26,4684,32
2022-12-27,46725,251
2022-12-28,39815,190
2022-12-29,29921,137
2022-12-30,22974,108
2022-12-31,4850,23
2023-01-01,2531,22
2023-01-02,34877,209
2023-01-03,33137,118
2023-01-04,24699,105
2023-01-05,19974,80
2023-01-06,12538,65
2023-01-07,3051,8
2023-01-08,1704,12
2023-01-09,25680,110
2023-01-10,21825,65
2023-01-11,16324,47
2023-01-12,11795,44
2023-01-13,9690,43
2023-01-14,2267,6
2023-01-15,1313,7
2023-01-16,15356,73
2023-01-17,14390,24
2023-01-18,11194,30
2023-01-19,9676,25
2023-01-20,8640,19
2023-01-21,2031,4
2023-01-22,1284,3
2023-01-23,14947,41
2023-01-24,16434,19
2023-01-25,13778,14
2023-01-26,12660,14
2023-01-27,10985,12
2023-01-28,2263,0
2023-01-29,1566,2
2023-01-30,18028,20
2023-01-31,19968,6
2023-02-01,15201,4
2023-02-02,9408,2
